Country Code,totalGDP
ABW,1.541583310909311e+11
AFG,2433529940040.972
AGO,6586249499504.417
ALB,1867710669246.8655
ARE,29972391805745.844
ARG,30676974947217.895
ARM,2163287397973.433
ATG,87288559645.9546
AUS,56363801178356.63
AUT,18350054366260.55
AZE,5096462877409.843
BDI,343221650695.6944
BEL,21866665033757.645
BEN,2976211035473.33
BFA,3428128108112.3926
BGD,81107699611537.25
BGR,7600404048072.479
BHR,3225553963761.2705
BHS,445145372673.84735
BIH,2317599280062.5464
BLR,5594981400900.38
BLZ,92953318626.9736
BOL,4741766053597.48
BRA,97214711037756.34
BRB,130625802143.84473
BRN,1015396874024.8771
BTN,543814831093.5302
BWA,1716155106947.9165
CAF,255334630940.01242
CAN,70856927195412.27
CHE,23747854937740.414
CHL,18805006826995.32
CHN,1384748656508874.5
CIV,13157222410666.178
CMR,5967143909232.729
COD,7033304682900.867
COG,441358635592.74506
COL,32779183157830.18
COM,129829565847.63936
CPV,178486495910.54077
CRI,5190041770638.455
CYP,2070954705611.7117
CZE,20680320488485.32
DEU,164020622551610.88
DJI,461576352297.14136
DMA,28312979003.103687
DNK,14083266955350.883
DOM,13980242728525.652
DZA,19058876928908.285
ECU,6502884891571.973
EGY,84474267711638.75
ESP,74053262518992.48
EST,2475565554757.243
ETH,32401078103577.418
FIN,10218382904288.838
FJI,454832067221.91113
FRA,108964176862039.58
FSM,14409656135.147585
GAB,1422682127056.9648
GBR,114749472762048.4
GEO,3120365136388.489
GHA,11969105209173.838
GIN,3330820601473.2046
GMB,360171195444.44806
GNB,237366647831.16394
GNQ,382739587590.2387
GRC,10465026173310.73
GRD,78861287415.84389
GTM,7613394028299.374
GUY,2328793565145.0083
HKG,17533236570381.373
HND,2769837871103.783
HRV,5362461255021.913
HTI,1188081481819.03
HUN,16518677239672.348
IDN,210599652570941.72
IND,740940077896964.5
IRL,59089450521912.27
IRN,43406899600183.945
IRQ,20073788964128.02
ISL,989948557110.191
ISR,20163961762610.176
ITA,81405353827051.16
JAM,928656697134.892
JOR,4375872874289.4175
JPN,174123063449323.78
KAZ,23152398438003.926
KEN,15906144848643.574
KGZ,1624536682420.9639
KHM,5954482046414.477
KIR,12025632841.844992
KNA,53102181796.552734
KOR,102324247776519.34
KWT,6643772077916.855
LAO,4073988666682.606
LBN,525058344616.4725
LBR,285567844695.6344
LBY,16317484826894.791
LCA,85366718554.66536
LKA,13748490713877.312
LSO,158037519805.86456
LTU,5263398804537.577
LUX,3323317034796.342
LVA,2746823470575.634
MAC,1029724981935.284
MAR,12571362059368.47
MDA,1716330119745.3386
MDG,2207650783779.1177
MDV,486745961397.7069
MEX,90637441523332.08
MHL,10397814184.493353
MKD,1536744706123.1892
MLI,3000619680888.6567
MLT,1596766417767.8464
MMR,15308075688674.705
MNE,573751387708.7389
MNG,2324275068799.041
MOZ,2615495996020.4917
MRT,1521581168531.7698
MUS,1168733460033.385
MWI,1682188062056.6
MYS,52618689619064.49
NAM,780129712478.2937
NER,2596294710046.7056
NGA,41110774071482.33
NIC,1512222825489.7256
NLD,39805320058131.04
NOR,13793785643210.393
NPL,7692107642417.289
NRU,5820173171.371743
NZL,10724294623631.678
OMN,6482053732563.65
PAK,62670617558588.86
PAN,6519400605630.89
PER,17924615126940.316
PHL,68826970042001.0
PLW,9665593520.598919
PNG,1908294798259.0454
POL,70076912513864.95
PRI,2904273847406.3286
PRT,13902931301271.496
PRY,4313274541841.726
QAT,9903099801157.281
ROU,32353306990741.824
RUS,124134673934589.78
RWA,2682718011661.552
SAU,65363049828309.87
SDN,7198645408081.816
SEN,4757558548295.164
SGP,26088110564697.51
SLB,76369696857.85345
SLE,493596223468.78613
SLV,2257882164956.393
SMR,77865194441.66673
SOM,1003330502223.2783
SRB,6751251782035.842
STP,46297256787.13805
SUR,264622900921.78375
SVK,8147323645521.38
SVN,4024886131418.0195
SWE,23567106936249.34
SWZ,407225516059.02576
SYC,142271864422.82513
TCD,882364647170.656
TGO,1313034685782.2424
THA,58189334500673.42
TJK,2968205215237.136
TKM,3438777872745.3423
TLS,184081309433.5087
TON,28003448059.00639
TTO,944631125140.0494
TUN,4547436152122.796
TUR,144569374176386.78
TUV,3829767315.918984
TZA,13532397936152.24
UGA,7652385251582.393
UKR,3296292287022.5645
URY,2824042725067.505
USA,859089268958393.0
UZB,19018089373304.11
VCT,58752935527.17804
VNM,74413522038995.48
VUT,41663056912.88105
WSM,55237675472.98607
ZAF,26660470535912.58
ZMB,3075831823149.583
ZWE,2006127103549.1047
AIA,8770469752.335558
AND,166358910296.58154
ASM,32901762240.80272
BMU,261514006868.38635
COK,14995803185.435768
CUB,6850366910319.107
CUW,193010337765.19528
CYM,239012801688.50607
ERI,485125983678.2188
FLK,10320552775.83842
FRO,100055359033.20097
GGY,173259279885.07816
GIB,102205474194.83398
GRL,120656462442.33582
GUM,289665514682.32544
IMN,339618190181.65967
JEY,278464914770.56287
LIE,248913331967.6534
MAF,28076503796.672836
MCO,383620546977.87
MNP,62103326296.469574
MSR,8370448326.915464
NCL,555529754552.1554
NIU,500526808.55689245
PRK,2000107127100.4692
PSE,1295569391579.329
PYF,274514703194.5394
SHN,1555083291.3206148
SPM,13065699807.783815
SSD,1000553590332.0098
SXM,72003856575.6169
SYR,2514134658765.29
TCA,41002196105.55962
TKL,385599802.98817044
TWN,57166911898751.08
VEN,13454120611866.727
VGB,25001339088.755867
VIR,193610369903.32544
WLF,3000160690.650704
XKX,956551233535.7994
YEM,3681697194210.189
