Country Code,Diabetes mellitus
AFG,3883.0939539965457
AGO,2485.398053250304
ALB,4962.860182163249
AND,7437.668080566576
ARE,8404.594284256296
ARG,6008.305829885639
ARM,7485.569763994166
ASM,18525.900474853523
ATG,10168.691449259491
AUS,6043.848476307635
AUT,7549.795593142
AZE,5803.70602265242
BDI,1618.7622479712716
BEL,7841.460041720393
BEN,1989.167092486488
BFA,1920.5083441584093
BGD,4276.048997155995
BGR,9482.39521737391
BHR,13422.679580798384
BHS,8784.724250775513
BIH,12482.106995584963
BLR,4419.651101200282
BLZ,5105.408287974841
BMU,9063.937433031024
BOL,3883.39309287422
BRA,5909.601802681313
BRB,11940.214325701329
BRN,10853.187486920167
BTN,4478.990036168451
BWA,3977.839397141393
CAF,3026.559857450673
CAN,6620.772640403625
CHE,8151.830980148844
CHL,7878.167111929725
CHN,6466.521484723463
CIV,2122.835258529034
CMR,1960.3722540745848
COD,2645.0840056641787
COG,3519.1275620139904
COK,16309.432049824574
COL,7594.522771963681
COM,2283.0874890414666
CPV,4308.139454929612
CRI,8148.049211482746
CUB,10981.746657113195
CYP,9232.235453486375
CZE,15686.453921424229
DEU,13101.423745543643
DJI,2246.8919209363776
DMA,12993.67401962391
DNK,6915.106348895911
DOM,4144.371858315534
DZA,7066.521616846758
ECU,5009.690545776785
EGY,4439.505897995564
ERI,1943.6639664207
ESP,10649.980092656282
EST,6623.845478595732
ETH,1327.0121275428803
FIN,11564.928027238677
FJI,14736.60982211739
FRA,5011.133738327842
FSM,10125.409699166476
GAB,4334.579510872151
GBR,12836.242596570097
GEO,9819.383805838164
GHA,2786.751585972214
GIN,1851.4255309010932
GMB,1925.853731380249
GNB,2031.032218164166
GNQ,2578.5957661208995
GRC,8991.780999263987
GRD,10718.298420245052
GRL,5412.376742230681
GTM,6210.448445585135
GUM,8835.758944743806
GUY,9810.702713135812
HND,5881.167097660412
HRV,10712.668888160117
HTI,6041.5614440523095
HUN,10621.756663972676
IDN,3985.086349576391
IND,6139.822371921762
IRL,6626.726216263756
IRN,6381.243721074465
IRQ,5858.221090785843
ISL,6743.359073372844
ISR,5917.069941149479
ITA,11488.12129855863
JAM,9237.207044235263
JOR,5375.533447868608
JPN,7283.923860703994
KAZ,6488.239254831469
KEN,1720.8896322058176
KGZ,2924.7013699875083
KHM,4307.43658460603
KIR,9726.144790701028
KNA,10093.71103780115
KOR,7896.210994595395
KWT,9067.620437962432
LAO,4366.492072618194
LBN,8134.4143204572865
LBR,2627.256331468257
LBY,8591.973155621426
LCA,14078.056478500772
LKA,10841.97510573461
LSO,3613.11392990168
LTU,5352.461050662359
LUX,10252.311500773489
LVA,6833.876951306969
MAR,6842.733197892957
MCO,9201.796783716864
MDA,6586.500208241079
MDG,1722.2462101863778
MDV,3689.078364371628
MEX,9682.676766227916
MHL,15577.679986347675
MKD,11125.617191308167
MLI,1718.2505809340882
MLT,11799.133959913235
MMR,5412.30601898796
MNE,10232.590987617084
MNG,2136.1410053416294
MNP,13599.345963768466
MOZ,1851.6629164095773
MRT,1644.6794849557093
MUS,14897.550059937616
MWI,2036.624113312346
MYS,5891.504052333754
NAM,3109.057054328054
NER,1095.323512453572
NGA,1372.1973901482263
NIC,6168.764194809346
NIU,20189.74509499778
NLD,6605.148883737506
NOR,8459.845419351728
NPL,4642.827593092919
NRU,6740.595239649243
NZL,5468.635306640847
OMN,4602.555991422242
PAK,3975.723489781833
PAN,7826.340950578449
PER,3556.715520915936
PHL,3352.464352065833
PLW,17492.55042523875
PNG,6943.503035268549
POL,9600.334163988724
PRI,16271.425271229944
PRK,5393.80708775021
PRT,12888.111080928513
PRY,4514.029545644209
PSE,4856.843704053469
QAT,10034.319276257494
ROU,7034.003517188568
RUS,4552.331822740169
RWA,1805.331659614083
SAU,7567.546696553846
SDN,4186.334013557186
SEN,3083.906036057866
SGP,8139.126080405725
SLB,6859.187642284223
SLE,1351.5547423615114
SLV,7181.545680413003
SMR,8147.540099620307
SOM,1607.3964260621246
SRB,11139.967818070962
SSD,1728.4092343382413
STP,2651.073529565175
SUR,11328.428532886534
SVK,7517.74526802509
SVN,8552.142504195697
SWE,8005.225233511584
SWZ,3525.6380754736983
SYC,10808.789607793424
SYR,6638.769642989921
TCD,1643.3297220652385
TGO,1584.1550247374337
THA,6883.0674670333365
TJK,4003.067166162946
TKL,10583.614973699136
TKM,4480.653967086946
TLS,3263.902829039911
TON,8600.55652599754
TTO,14655.028976454174
TUN,9582.775860723455
TUR,6082.513080231251
TUV,10782.26743482155
TWN,8052.890448020554
TZA,1616.7096732223663
UGA,1888.937161065025
UKR,5207.977106757905
URY,5304.277678734115
USA,11847.84629914528
UZB,4393.462771757952
VCT,12309.959922817838
VEN,7845.871664247355
VIR,13283.89696320313
VNM,4605.825732536396
VUT,7323.676924133306
WSM,8749.514618164621
YEM,2625.9536364256696
ZAF,5051.415034760291
ZMB,1803.5920065281216
ZWE,3291.017953504592
